Joueur,Provenance,Destination,Année,Prix en millions d'Euro
Aaron Wan-Bissaka,Crystal Palace,Manchester United,2019,55.0
Bruno Fernandes,Sporting CP,Manchester United,2020,55.0
Ben Chilwell,Leicester City,Chelsea FC,2020,55.0
Ferran Torres,Manchester City,FC Barcelone,2022,55.0
Rúben Neves,Wolverhampton,Al-Hilal FC,2023,55.0
Moussa Diaby,Bayer Leverkusen,Aston Villa,2023,55.0
Kalvin Phillips,Leeds United,Manchester City,2022,54.5
Eliaquim Mangala,FC Porto,Manchester City,2014,53.8
Alexandre Lacazette,Olympique lyonnais,Arsenal FC,2017,53.0
Timo Werner,RB Leipzig,Chelsea FC,2020,53.0
Gianluigi Buffon,Parme FC,Juventus,2001,52.8
André Onana,Inter Milan,Manchester United,2023,52.5
Gabriel Jesus,Manchester City,Arsenal FC,2022,52.3
